indice_tiempo,produccion_petroleo_crudo_ypf_sa,produccion_petroleo_crudo_pan_american_energy_llc,produccion_petroleo_crudo_pluspetrol_sa,produccion_petroleo_crudo_sinopec_argentina,produccion_petroleo_crudo_tecpetrol_sa,produccion_petroleo_crudo_total_austral_sa,produccion_petroleo_crudo_chevron_argentina_srl,produccion_petroleo_crudo_enap_sipetrol_argentina_sa,produccion_petroleo_crudo_petrobras_argentina_sa,produccion_gas_natural_ypf_sa,produccion_gas_natural_pan_american_energy_llc,produccion_gas_natural_pluspetrol_sa,produccion_gas_natural_sinopec_argentina_exploration,produccion_gas_natural_tecpetrol_sa,produccion_gas_natural_total_austral_sa,produccion_gas_natural_chevron_argentina_srl,produccion_gas_natural_enap_sipetrol_argentina_sa,produccion_gas_natural_petrobras_argentina_sa,ventas_gasoil_ypf,ventas_gasoil_essoaxion,ventas_gasoil_shell,ventas_gasoil_petrobras,ventas_gasoil_oil,ventas_naftas_ypf,ventas_naftas_essoaxion,ventas_naftas_shell,ventas_naftas_petrobras,ventas_naftas_oil
1999-01-01,1845878.0,276624.9000000001,89038.0,,142838.95,248928.84000000003,,,,1072031.6580000003,394507.49000000005,49478.341,229970.70899999997,,326415.0,,,,408683.0,137020.0,139465.0,,,205505.0,72774.0,91014.0,,
1999-02-01,1436613.0,248901.30999999997,78518.4,,125806.65999999997,265902.26,,,,994340.246,471047.74,42361.52,202742.075,,272673.0,,,,379980.0,142655.0,135167.0,,,186777.0,65786.0,87378.0,,
1999-03-01,1626709.0,267909.4000000001,84988.0,,135895.41,275314.58999999997,,,,1213937.3980000003,492493.113,50164.994000000006,214812.87300000002,,300931.0,,,,447200.0,162836.0,162181.0,,,197474.0,73013.0,96428.0,,
1999-04-01,1569934.2999999998,249041.42000000004,85540.0,,133529.03,257288.553,,,,1179783.3349999997,460340.40700000006,49867.282999999996,233041.86,,331279.0,,,,445760.0,164157.0,153735.0,,,186014.0,69079.0,89468.0,,
1999-05-01,1618203.2,257632.17999999996,90024.0,,141502.01,256469.9,,,,1381478.073,634605.258,49961.048,272700.461,,366900.0,,,,470166.0,167133.0,166445.0,,,181994.0,70429.0,85745.0,,
1999-06-01,1450881.2,244613.24000000002,90002.0,,137918.23,195418.0,,,,1438414.6709999999,706253.095,49214.340000000004,268423.33700000006,,364930.0,,,,482541.0,156749.0,159452.0,,,177637.0,67453.0,85716.0,,
1999-07-01,1448329.0000000002,251024.62,93870.1,,146948.63,251607.3,,,,227698.81699999998,463449.801,48655.08,277057.671,,402713.6,,,,473156.0,154349.0,161438.0,,,192028.0,69446.0,93686.0,,
1999-08-01,1565287.48,247649.85000000003,96843.1,,144574.75,263361.4,,,,1363680.3400000003,461645.17999999993,47775.83,278390.213,,411428.2,,,,471913.0,167024.0,162892.0,,,188259.0,69685.0,88053.0,,
1999-09-01,1471254.8,243774.56,92272.0,,143092.79,242455.8,,,,1130337.84,578054.233,45804.11,286827.434,,384044.1,,,,458636.0,158579.0,165527.0,,,183972.0,65955.0,85310.0,,
1999-10-01,1452010.56,250079.51,93392.4,,156240.5,250550.2,,,,1047492.901,610438.12,46153.1,320134.68299999996,,402876.6,,,,470131.0,157163.0,160508.0,,,187932.0,69607.0,90342.0,,
1999-11-01,1379088.0,235618.0,86239.21600000003,,148565.92,240332.1,,,,928336.576,595660.015,34662.0,306995.257,,366291.081,,,,481209.0,172184.0,172750.0,,,177373.0,64694.0,89511.0,,
1999-12-01,1434064.27,246702.0,89542.972,,151444.34,247676.00000000003,,,,964528.5679999999,630818.649,34741.0,290745.337,,371743.5780000001,,,,484710.0,174607.0,172011.0,,,201841.0,73776.0,101677.0,,
2000-01-01,1423590.75,290054.81,92351.30299999999,,150093.11,240972.90000000002,,,,993102.1529999999,642242.169,42096.977,271259.548,,394153.23,,,,421226.0,152418.0,153462.0,,,184284.0,63291.0,89234.0,,
2000-02-01,1330569.4599999997,196655.83000000002,85277.97200000001,,146291.22999999998,176508.8,,,,1011624.741,605193.879,39239.566,279374.32700000005,,379208.143,,,,412039.0,141890.0,148332.0,,,168291.0,58688.0,84283.0,,
2000-03-01,1414788.21,163037.671,86730.09999999999,,152936.95999999996,180707.6,4508.6,,,1093022.738,659470.756,45853.132999999994,258000.64699999997,,368135.5,,,11181.626,475712.0,166000.0,177116.0,,,173092.0,63045.0,86817.0,,
2000-04-01,1337362.86,249312.10100000002,89026.26999999999,,148517.41999999998,172379.2,3962.8,,,1129361.1429999997,597380.591,68604.352,278592.50800000003,,384212.28,,,9087.222,437816.0,145537.0,160184.0,,,166557.0,63437.0,82949.0,,
2000-05-01,1371762.683,266179.248,95789.897,,157871.79000000007,185311.4,5222.92,,,1357553.1409999998,719735.3849999999,142214.951,344040.61,,428470.15199999994,,,10295.195,453797.0,143893.0,166396.0,,,157992.0,61964.0,79600.0,,
2000-06-01,1297260.0199999998,258702.798,99050.99799999999,,149625.31999999998,180697.1,355204.01999999996,,,1373959.399,707127.1880000001,142233.00899999996,334088.784,,412981.706,,,87346.378,443011.0,148165.0,165359.0,,,153217.0,60345.0,80232.0,,
2000-07-01,1268823.6600000001,256985.135,104874.492,,146632.77999999997,185374.90000000002,368571.79,,,1362856.122,760756.2899999999,155848.604,364268.578,,447892.684,,,92625.166,458827.0,143358.0,167763.0,,,162536.0,62791.0,83867.0,,
2000-08-01,1230687.6,277449.02,97248.413,,155984.79999999996,177722.2,367640.2,,,2337017.841,753258.039,326791.382,380454.134,,460211.826,,,90340.12599999999,469778.0,153953.0,164800.0,,,160716.0,61904.0,84426.0,,
2000-09-01,1175375.41,314426.58999999985,93311.154,,151154.56000000003,162546.5,344361.30000000005,,,1095066.4320000003,705308.0210000001,308051.3503,329746.668,,444267.06200000003,,,85907.96099999998,463775.0,146346.0,159025.0,,,154606.0,61484.0,82341.0,,
2000-10-01,1291760.1400000004,345750.1699999999,95585.92000000001,,159800.61000000002,192217.8,373836.69999999995,,,848281.1169999999,665841.193,300862.08099999995,314372.21499999997,,441211.67000000004,,,82831.66600000001,463640.0,133602.0,145505.0,,,156059.0,60785.0,77844.0,,
2000-11-01,1173826.2299999997,342447.63,89057.34800000001,,154188.88999999996,167721.30000000002,371395.1,,,842413.4879999999,496203.35900000005,295196.829,296671.497,,404150.563,,,79316.309,477655.0,141437.0,147345.0,,,149894.0,59026.0,79314.0,,
2000-12-01,1207186.0099999998,34771.25000000001,90793.8,,157328.52,190280.90000000002,389565.1000000001,,,171995.23499999996,694469.838,205364.712,342411.1229999999,,434381.6,,,77048.20499999999,497072.0,154066.0,161751.0,,,174939.0,64246.0,91171.0,,
2001-01-01,1469752.052,353488.074,89772.909,,157008.16,179745.8,393145.1,,,970614.3009999999,584089.895,284501.66,314161.11199999996,,429438.3,,,77746.435,449073.0,141903.0,150963.0,,,171664.0,57530.0,83624.0,,
2001-02-01,1153147.216,318078.30299999996,78955.80000000002,,131421.11,169826.4,362721.8,,,906084.7260000001,556069.0059999999,245959.02399999998,294302.49399999995,,374248.89999999997,,,68683.19499999999,403915.0,128822.0,139775.0,,,152234.0,51520.0,76305.0,,
2001-03-01,1452329.22,352160.773,89074.29999999999,,155594.09,190387.7,390978.1,,,1124014.178,695745.97,1419495.9259999997,310400.373,,470183.4,,,79394.151,469815.0,147717.0,160850.0,,,157288.0,56852.0,82379.0,,
2001-04-01,1681182.4850000003,274937.451,87199.87200000002,,150676.34999999998,181266.60000000003,388493.19999999995,,,1119320.9329999997,683353.208,1289232.6130000001,304061.158,,467199.556,,,89736.849,445669.0,152856.0,159161.0,,,145993.0,52593.0,76462.0,,
2001-05-01,1732163.8890000002,369822.364,92504.67,,161176.71000000002,197232.4,412070.0,,,1364195.9869999997,871030.6460000001,325568.89400000003,353727.078,,478104.802,,,102351.84700000001,457036.0,158218.0,166772.0,,,142352.0,53138.0,76942.0,,
2001-06-01,1615057.2899999998,358331.40400000004,87568.43,,155852.91,186819.40000000002,389797.7999999999,,,1220868.9400000002,780250.1440000001,365953.52400000003,354989.74400000006,,467611.28,,,98173.685,424615.0,156105.0,152325.0,,,137139.0,53285.0,76633.0,,
2001-07-01,1649846.4909999997,369341.87,90558.298,,167252.85,191986.8,391462.4,,,1394464.5809999995,822573.7599999999,424548.314,353067.288,,479462.91,,,99289.931,422495.0,146647.0,153404.0,,,152763.0,57903.0,79058.0,,
2001-08-01,1657657.3730000004,366110.79000000004,91042.354,,166725.51,178491.6,397991.4,,,1238484.5239999997,702572.6959999999,397670.635,345180.13499999995,,461651.24000000005,,,92822.96399999998,416152.0,141414.0,153463.0,,,142494.0,52880.0,71802.0,,
2001-09-01,1630451.2770000002,359862.98000000004,89386.68399999998,,163566.58000000002,177768.5,371368.0999999999,,,1152914.219,767615.0710000001,372676.2849999999,334396.6340000001,,449097.892,,,81231.50699999998,389752.0,126654.0,135374.0,,,133871.0,50751.0,66237.0,,
2001-10-01,1664011.3430000003,384981.58999999997,88499.874,,169257.12999999998,167136.8,384115.6999999999,,,1263708.2180000003,620423.9519999999,354729.751,319148.509,,410878.04199999996,,,86708.412,400225.0,147416.0,147463.0,,,140213.0,52671.0,76426.0,,
2001-11-01,1700915.4789999996,389777.83999999997,88147.23000000001,,166829.72,138447.4,372803.99999999994,,,1082519.6090000002,491185.615,296160.8015,318334.89800000004,,427284.81399999995,,,79628.157,420525.0,149211.0,147944.0,,,137582.0,51348.0,65447.0,,
2001-12-01,1723162.6709999999,403220.43,90676.417,,172090.56,160990.9,385248.49999999994,,,1076552.5099999995,598377.4820000001,339390.837,319042.0630000001,,475388.8389999999,,,80946.43199999999,404828.0,143594.0,106029.0,,,148163.0,54688.0,72262.0,,
2002-01-01,1684940.999,382536.11999999994,86766.932,,167704.27000000002,162353.69999999998,380904.1,,,985777.5399999997,633602.6640000001,359994.73899999994,303695.46499999997,,468895.018,,,84936.02300000002,367559.0,110923.0,125553.0,,,145595.0,50129.0,67175.0,,
2002-02-01,1516002.119,357192.65,77144.426,,146086.56000000003,145610.0,325803.10000000003,,,961513.8509999999,607197.8189999999,325677.288,254724.36400000003,,406167.22399999993,,,82322.954,397329.0,99453.0,135686.0,,,145881.0,48057.0,62261.0,,
