id,indice_tiempo,produccion_petroleo_crudo_ypf_sa,produccion_petroleo_crudo_pan_american_energy_llc,produccion_petroleo_crudo_pluspetrol_sa,produccion_petroleo_crudo_sinopec_argentina,produccion_petroleo_crudo_tecpetrol_sa,produccion_petroleo_crudo_total_austral_sa,produccion_petroleo_crudo_chevron_argentina_srl,produccion_petroleo_crudo_enap_sipetrol_argentina_sa,produccion_petroleo_crudo_petrobras_argentina_sa,produccion_gas_natural_ypf_sa,produccion_gas_natural_pan_american_energy_llc,produccion_gas_natural_pluspetrol_sa,produccion_gas_natural_sinopec_argentina_exploration,produccion_gas_natural_tecpetrol_sa,produccion_gas_natural_total_austral_sa,produccion_gas_natural_chevron_argentina_srl,produccion_gas_natural_enap_sipetrol_argentina_sa,produccion_gas_natural_petrobras_argentina_sa,ventas_gasoil_ypf,ventas_gasoil_essoaxion,ventas_gasoil_shell,ventas_gasoil_petrobras,ventas_gasoil_oil,ventas_naftas_ypf,ventas_naftas_essoaxion,ventas_naftas_shell,ventas_naftas_petrobras,ventas_naftas_oil
1,1999-01-01,1845878.0,276624.9,89038.0,0.0,142838.95,248928.84,0.0,0.0,0.0,1072031.66,394507.49,49478.34,229970.71,0.0,326415.0,0.0,0.0,0.0,408683.0,137020.0,139465.0,0.0,0.0,205505.0,72774.0,91014.0,0.0,0.0
2,1999-02-01,1436613.0,248901.31,78518.4,0.0,125806.66,265902.26,0.0,0.0,0.0,994340.25,471047.74,42361.52,202742.08,0.0,272673.0,0.0,0.0,0.0,379980.0,142655.0,135167.0,0.0,0.0,186777.0,65786.0,87378.0,0.0,0.0
3,1999-03-01,1626709.0,267909.4,84988.0,0.0,135895.41,275314.59,0.0,0.0,0.0,1213937.4,492493.11,50164.99,214812.87,0.0,300931.0,0.0,0.0,0.0,447200.0,162836.0,162181.0,0.0,0.0,197474.0,73013.0,96428.0,0.0,0.0
4,1999-04-01,1569934.3,249041.42,85540.0,0.0,133529.03,257288.55,0.0,0.0,0.0,1179783.33,460340.41,49867.28,233041.86,0.0,331279.0,0.0,0.0,0.0,445760.0,164157.0,153735.0,0.0,0.0,186014.0,69079.0,89468.0,0.0,0.0
5,1999-05-01,1618203.2,257632.18,90024.0,0.0,141502.01,256469.9,0.0,0.0,0.0,1381478.07,634605.26,49961.05,272700.46,0.0,366900.0,0.0,0.0,0.0,470166.0,167133.0,166445.0,0.0,0.0,181994.0,70429.0,85745.0,0.0,0.0
6,1999-06-01,1450881.2,244613.24,90002.0,0.0,137918.23,195418.0,0.0,0.0,0.0,1438414.67,706253.1,49214.34,268423.34,0.0,364930.0,0.0,0.0,0.0,482541.0,156749.0,159452.0,0.0,0.0,177637.0,67453.0,85716.0,0.0,0.0
7,1999-07-01,1448329.0,251024.62,93870.1,0.0,146948.63,251607.3,0.0,0.0,0.0,227698.82,463449.8,48655.08,277057.67,0.0,402713.6,0.0,0.0,0.0,473156.0,154349.0,161438.0,0.0,0.0,192028.0,69446.0,93686.0,0.0,0.0
8,1999-08-01,1565287.48,247649.85,96843.1,0.0,144574.75,263361.4,0.0,0.0,0.0,1363680.34,461645.18,47775.83,278390.21,0.0,411428.2,0.0,0.0,0.0,471913.0,167024.0,162892.0,0.0,0.0,188259.0,69685.0,88053.0,0.0,0.0
9,1999-09-01,1471254.8,243774.56,92272.0,0.0,143092.79,242455.8,0.0,0.0,0.0,1130337.84,578054.23,45804.11,286827.43,0.0,384044.1,0.0,0.0,0.0,458636.0,158579.0,165527.0,0.0,0.0,183972.0,65955.0,85310.0,0.0,0.0
10,1999-10-01,1452010.56,250079.51,93392.4,0.0,156240.5,250550.2,0.0,0.0,0.0,1047492.9,610438.12,46153.1,320134.68,0.0,402876.6,0.0,0.0,0.0,470131.0,157163.0,160508.0,0.0,0.0,187932.0,69607.0,90342.0,0.0,0.0
11,1999-11-01,1379088.0,235618.0,86239.22,0.0,148565.92,240332.1,0.0,0.0,0.0,928336.58,595660.02,34662.0,306995.26,0.0,366291.08,0.0,0.0,0.0,481209.0,172184.0,172750.0,0.0,0.0,177373.0,64694.0,89511.0,0.0,0.0
12,1999-12-01,1434064.27,246702.0,89542.97,0.0,151444.34,247676.0,0.0,0.0,0.0,964528.57,630818.65,34741.0,290745.34,0.0,371743.58,0.0,0.0,0.0,484710.0,174607.0,172011.0,0.0,0.0,201841.0,73776.0,101677.0,0.0,0.0
13,2000-01-01,1423590.75,290054.81,92351.3,0.0,150093.11,240972.9,0.0,0.0,0.0,993102.15,642242.17,42096.98,271259.55,0.0,394153.23,0.0,0.0,0.0,421226.0,152418.0,153462.0,0.0,0.0,184284.0,63291.0,89234.0,0.0,0.0
